date,status,day,day_map,weather,weather_map,temp,atemp,casual,registered,total
2011-01-27,Weekday,Thursday,4,Sunny,1,0.195,0.2197,15,416,431
2011-01-28,Weekday,Friday,5,Cloudy/Misty,2,0.203478,0.223317,38,1129,1167
2011-01-29,Weekend,Saturday,6,Sunny,1,0.196522,0.212126,123,975,1098
2011-01-30,Weekend,Sunday,0,Sunny,1,0.216522,0.250322,140,956,1096
2011-01-31,Weekday,Monday,1,Cloudy/Misty,2,0.180833,0.18625,42,1459,1501
2011-02-01,Weekday,Tuesday,2,Cloudy/Misty,2,0.192174,0.23453,47,1313,1360
2011-02-02,Weekday,Wednesday,3,Cloudy/Misty,2,0.26,0.254417,72,1454,1526
2011-02-03,Weekday,Thursday,4,Sunny,1,0.186957,0.177878,61,1489,1550
2011-02-04,Weekday,Friday,5,Cloudy/Misty,2,0.211304,0.228587,88,1620,1708
2011-02-05,Weekend,Saturday,6,Cloudy/Misty,2,0.233333,0.243058,100,905,1005
2011-02-06,Weekend,Sunday,0,Sunny,1,0.285833,0.291671,354,1269,1623
2011-02-07,Weekday,Monday,1,Sunny,1,0.271667,0.303658,120,1592,1712
2011-02-08,Weekday,Tuesday,2,Sunny,1,0.220833,0.198246,64,1466,1530
2011-02-09,Weekday,Wednesday,3,Cloudy/Misty,2,0.134783,0.144283,53,1552,1605
2011-02-10,Weekday,Thursday,4,Sunny,1,0.144348,0.149548,47,1491,1538
2011-02-11,Weekday,Friday,5,Sunny,1,0.189091,0.213509,149,1597,1746
2011-02-12,Weekend,Saturday,6,Sunny,1,0.2225,0.232954,288,1184,1472
2011-02-13,Weekend,Sunday,0,Sunny,1,0.316522,0.324113,397,1192,1589
2011-02-14,Weekday,Monday,1,Sunny,1,0.415,0.39835,208,1705,1913
2011-02-15,Weekday,Tuesday,2,Sunny,1,0.266087,0.254274,140,1675,1815
2011-02-16,Weekday,Wednesday,3,Sunny,1,0.318261,0.3162,218,1897,2115
2011-02-17,Weekday,Thursday,4,Sunny,1,0.435833,0.428658,259,2216,2475
2011-02-18,Weekday,Friday,5,Sunny,1,0.521667,0.511983,579,2348,2927
2011-02-19,Weekend,Saturday,6,Sunny,1,0.399167,0.391404,532,1103,1635
2011-02-20,Weekend,Sunday,0,Sunny,1,0.285217,0.27733,639,1173,1812
2011-02-21,Holiday,Monday,1,Cloudy/Misty,2,0.303333,0.284075,195,912,1107
2011-02-22,Weekday,Tuesday,2,Sunny,1,0.182222,0.186033,74,1376,1450
2011-02-23,Weekday,Wednesday,3,Sunny,1,0.221739,0.245717,139,1778,1917
2011-02-24,Weekday,Thursday,4,Cloudy/Misty,2,0.295652,0.289191,100,1707,1807
2011-02-25,Weekday,Friday,5,Cloudy/Misty,2,0.364348,0.350461,120,1341,1461
2011-02-26,Weekend,Saturday,6,Sunny,1,0.2825,0.282192,424,1545,1969
2011-02-27,Weekend,Sunday,0,Sunny,1,0.343478,0.351109,694,1708,2402
2011-02-28,Weekday,Monday,1,Cloudy/Misty,2,0.407273,0.400118,81,1365,1446
2011-03-01,Weekday,Tuesday,2,Sunny,1,0.266667,0.263879,137,1714,1851
2011-03-02,Weekday,Wednesday,3,Sunny,1,0.335,0.320071,231,1903,2134
2011-03-03,Weekday,Thursday,4,Sunny,1,0.198333,0.200133,123,1562,1685
2011-03-04,Weekday,Friday,5,Cloudy/Misty,2,0.261667,0.255679,214,1730,1944
2011-03-05,Weekend,Saturday,6,Cloudy/Misty,2,0.384167,0.378779,640,1437,2077
2011-03-06,Weekend,Sunday,0,Cloudy/Misty,2,0.376522,0.366252,114,491,605
2011-03-07,Weekday,Monday,1,Sunny,1,0.261739,0.238461,244,1628,1872
2011-03-08,Weekday,Tuesday,2,Sunny,1,0.2925,0.3024,316,1817,2133
2011-03-09,Weekday,Wednesday,3,Cloudy/Misty,2,0.295833,0.286608,191,1700,1891
2011-03-10,Weekday,Thursday,4,Rain,3,0.389091,0.385668,46,577,623
2011-03-11,Weekday,Friday,5,Cloudy/Misty,2,0.316522,0.305,247,1730,1977
2011-03-12,Weekend,Saturday,6,Sunny,1,0.329167,0.32575,724,1408,2132
2011-03-13,Weekend,Sunday,0,Sunny,1,0.384348,0.380091,982,1435,2417
2011-03-14,Weekday,Monday,1,Sunny,1,0.325217,0.332,359,1687,2046
2011-03-15,Weekday,Tuesday,2,Cloudy/Misty,2,0.317391,0.318178,289,1767,2056
2011-03-16,Weekday,Wednesday,3,Cloudy/Misty,2,0.365217,0.36693,321,1871,2192
2011-03-17,Weekday,Thursday,4,Sunny,1,0.415,0.410333,424,2320,2744
2011-03-18,Weekday,Friday,5,Sunny,1,0.54,0.527009,884,2355,3239
2011-03-19,Weekend,Saturday,6,Sunny,1,0.4725,0.466525,1424,1693,3117
2011-03-20,Weekend,Sunday,0,Sunny,1,0.3325,0.32575,1047,1424,2471
2011-03-21,Weekday,Monday,1,Cloudy/Misty,2,0.430435,0.409735,401,1676,2077
2011-03-22,Weekday,Tuesday,2,Sunny,1,0.441667,0.440642,460,2243,2703
2011-03-23,Weekday,Wednesday,3,Cloudy/Misty,2,0.346957,0.337939,203,1918,2121
2011-03-24,Weekday,Thursday,4,Cloudy/Misty,2,0.285,0.270833,166,1699,1865
2011-03-25,Weekday,Friday,5,Sunny,1,0.264167,0.256312,300,1910,2210
2011-03-26,Weekend,Saturday,6,Sunny,1,0.265833,0.257571,981,1515,2496
2011-03-27,Weekend,Sunday,0,Cloudy/Misty,2,0.253043,0.250339,472,1221,1693
2011-03-28,Weekday,Monday,1,Sunny,1,0.264348,0.257574,222,1806,2028
2011-03-29,Weekday,Tuesday,2,Sunny,1,0.3025,0.292908,317,2108,2425
2011-03-30,Weekday,Wednesday,3,Cloudy/Misty,2,0.3,0.29735,168,1368,1536
2011-03-31,Weekday,Thursday,4,Rain,3,0.268333,0.257575,179,1506,1685
2011-04-01,Weekday,Friday,5,Cloudy/Misty,2,0.3,0.283454,307,1920,2227
2011-04-02,Weekend,Saturday,6,Cloudy/Misty,2,0.315,0.315637,898,1354,2252
2011-04-03,Weekend,Sunday,0,Sunny,1,0.378333,0.378767,1651,1598,3249
2011-04-04,Weekday,Monday,1,Sunny,1,0.573333,0.542929,734,2381,3115
2011-04-05,Weekday,Tuesday,2,Cloudy/Misty,2,0.414167,0.39835,167,1628,1795
2011-04-06,Weekday,Wednesday,3,Sunny,1,0.390833,0.387608,413,2395,2808
2011-04-07,Weekday,Thursday,4,Sunny,1,0.4375,0.433696,571,2570,3141
2011-04-08,Weekday,Friday,5,Cloudy/Misty,2,0.335833,0.324479,172,1299,1471
2011-04-09,Weekend,Saturday,6,Cloudy/Misty,2,0.3425,0.341529,879,1576,2455
2011-04-10,Weekend,Sunday,0,Cloudy/Misty,2,0.426667,0.426737,1188,1707,2895
2011-04-11,Weekday,Monday,1,Cloudy/Misty,2,0.595652,0.565217,855,2493,3348
2011-04-12,Weekday,Tuesday,2,Cloudy/Misty,2,0.5025,0.493054,257,1777,2034
2011-04-13,Weekday,Wednesday,3,Cloudy/Misty,2,0.4125,0.417283,209,1953,2162
2011-04-14,Weekday,Thursday,4,Sunny,1,0.4675,0.462742,529,2738,3267
2011-04-15,Holiday,Friday,5,Sunny,1,0.446667,0.441913,642,2484,3126
2011-04-16,Weekend,Saturday,6,Rain,3,0.430833,0.425492,121,674,795
2011-04-17,Weekend,Sunday,0,Sunny,1,0.456667,0.445696,1558,2186,3744
2011-04-18,Weekday,Monday,1,Sunny,1,0.5125,0.503146,669,2760,3429
2011-04-19,Weekday,Tuesday,2,Cloudy/Misty,2,0.505833,0.489258,409,2795,3204
2011-04-20,Weekday,Wednesday,3,Sunny,1,0.595,0.564392,613,3331,3944
2011-04-21,Weekday,Thursday,4,Sunny,1,0.459167,0.453892,745,3444,4189
2011-04-22,Weekday,Friday,5,Cloudy/Misty,2,0.336667,0.321954,177,1506,1683
2011-04-23,Weekend,Saturday,6,Cloudy/Misty,2,0.46,0.450121,1462,2574,4036
2011-04-24,Weekend,Sunday,0,Cloudy/Misty,2,0.581667,0.551763,1710,2481,4191
2011-04-25,Weekday,Monday,1,Sunny,1,0.606667,0.5745,773,3300,4073
2011-04-26,Weekday,Tuesday,2,Sunny,1,0.631667,0.594083,678,3722,4400
2011-04-27,Weekday,Wednesday,3,Cloudy/Misty,2,0.62,0.575142,547,3325,3872
2011-04-28,Weekday,Thursday,4,Cloudy/Misty,2,0.6175,0.578929,569,3489,4058
2011-04-29,Weekday,Friday,5,Sunny,1,0.51,0.497463,878,3717,4595
2011-04-30,Weekend,Saturday,6,Sunny,1,0.4725,0.464021,1965,3347,5312
2011-05-01,Weekend,Sunday,0,Cloudy/Misty,2,0.451667,0.448204,1138,2213,3351
2011-05-02,Weekday,Monday,1,Cloudy/Misty,2,0.549167,0.532833,847,3554,4401
2011-05-03,Weekday,Tuesday,2,Cloudy/Misty,2,0.616667,0.582079,603,3848,4451
2011-05-04,Weekday,Wednesday,3,Cloudy/Misty,2,0.414167,0.40465,255,2378,2633
2011-05-05,Weekday,Thursday,4,Sunny,1,0.459167,0.441917,614,3819,4433
2011-05-06,Weekday,Friday,5,Sunny,1,0.479167,0.474117,894,3714,4608
2011-05-07,Weekend,Saturday,6,Sunny,1,0.52,0.512621,1612,3102,4714
2011-05-08,Weekend,Sunday,0,Sunny,1,0.528333,0.518933,1401,2932,4333
2011-05-09,Weekday,Monday,1,Sunny,1,0.5325,0.525246,664,3698,4362
2011-05-10,Weekday,Tuesday,2,Sunny,1,0.5325,0.522721,694,4109,4803
2011-05-11,Weekday,Wednesday,3,Sunny,1,0.5425,0.5284,550,3632,4182
2011-05-12,Weekday,Thursday,4,Sunny,1,0.535,0.523363,695,4169,4864
2011-05-13,Weekday,Friday,5,Cloudy/Misty,2,0.5125,0.4943,692,3413,4105
2011-05-14,Weekend,Saturday,6,Cloudy/Misty,2,0.520833,0.500629,902,2507,3409
2011-05-15,Weekend,Sunday,0,Cloudy/Misty,2,0.5625,0.536,1582,2971,4553
2011-05-16,Weekday,Monday,1,Sunny,1,0.5775,0.550512,773,3185,3958
2011-05-17,Weekday,Tuesday,2,Cloudy/Misty,2,0.561667,0.538529,678,3445,4123
2011-05-18,Weekday,Wednesday,3,Cloudy/Misty,2,0.55,0.527158,536,3319,3855
2011-05-19,Weekday,Thursday,4,Cloudy/Misty,2,0.530833,0.510742,735,3840,4575
2011-05-20,Weekday,Friday,5,Sunny,1,0.536667,0.529042,909,4008,4917
2011-05-21,Weekend,Saturday,6,Sunny,1,0.6025,0.571975,2258,3547,5805
2011-05-22,Weekend,Sunday,0,Sunny,1,0.604167,0.5745,1576,3084,4660
2011-05-23,Weekday,Monday,1,Cloudy/Misty,2,0.631667,0.590296,836,3438,4274
2011-05-24,Weekday,Tuesday,2,Cloudy/Misty,2,0.66,0.604813,659,3833,4492
2011-05-25,Weekday,Wednesday,3,Sunny,1,0.660833,0.615542,740,4238,4978
2011-05-26,Weekday,Thursday,4,Sunny,1,0.708333,0.654688,758,3919,4677
2011-05-27,Weekday,Friday,5,Sunny,1,0.681667,0.637008,871,3808,4679
2011-05-28,Weekend,Saturday,6,Sunny,1,0.655833,0.612379,2001,2757,4758
2011-05-29,Weekend,Sunday,0,Sunny,1,0.6675,0.61555,2355,2433,4788
2011-05-30,Holiday,Monday,1,Sunny,1,0.733333,0.671092,1549,2549,4098
2011-05-31,Weekday,Tuesday,2,Sunny,1,0.775,0.725383,673,3309,3982
2011-06-01,Weekday,Wednesday,3,Cloudy/Misty,2,0.764167,0.720967,513,3461,3974
2011-06-02,Weekday,Thursday,4,Sunny,1,0.715,0.643942,736,4232,4968
2011-06-03,Weekday,Friday,5,Sunny,1,0.62,0.587133,898,4414,5312
2011-06-04,Weekend,Saturday,6,Sunny,1,0.635,0.594696,1869,3473,5342
2011-06-05,Weekend,Sunday,0,Cloudy/Misty,2,0.648333,0.616804,1685,3221,4906
2011-06-06,Weekday,Monday,1,Sunny,1,0.678333,0.621858,673,3875,4548
2011-06-07,Weekday,Tuesday,2,Sunny,1,0.7075,0.65595,763,4070,4833
2011-06-08,Weekday,Wednesday,3,Sunny,1,0.775833,0.727279,676,3725,4401
2011-06-09,Weekday,Thursday,4,Cloudy/Misty,2,0.808333,0.757579,563,3352,3915
2011-06-10,Weekday,Friday,5,Sunny,1,0.755,0.703292,815,3771,4586
2011-06-11,Weekend,Saturday,6,Sunny,1,0.725,0.678038,1729,3237,4966
2011-06-12,Weekend,Sunday,0,Sunny,1,0.6925,0.643325,1467,2993,4460
2011-06-13,Weekday,Monday,1,Sunny,1,0.635,0.601654,863,4157,5020
2011-06-14,Weekday,Tuesday,2,Sunny,1,0.604167,0.591546,727,4164,4891
2011-06-15,Weekday,Wednesday,3,Sunny,1,0.626667,0.587754,769,4411,5180
2011-06-16,Weekday,Thursday,4,Cloudy/Misty,2,0.628333,0.595346,545,3222,3767
2011-06-17,Weekday,Friday,5,Sunny,1,0.649167,0.600383,863,3981,4844
2011-06-18,Weekend,Saturday,6,Sunny,1,0.696667,0.643954,1807,3312,5119
2011-06-19,Weekend,Sunday,0,Cloudy/Misty,2,0.699167,0.645846,1639,3105,4744
2011-06-20,Weekday,Monday,1,Cloudy/Misty,2,0.635,0.595346,699,3311,4010
2011-06-21,Weekday,Tuesday,2,Cloudy/Misty,2,0.680833,0.637646,774,4061,4835
2011-06-22,Weekday,Wednesday,3,Sunny,1,0.733333,0.693829,661,3846,4507
2011-06-23,Weekday,Thursday,4,Cloudy/Misty,2,0.728333,0.693833,746,4044,4790
2011-06-24,Weekday,Friday,5,Sunny,1,0.724167,0.656583,969,4022,4991
2011-06-25,Weekend,Saturday,6,Sunny,1,0.695,0.643313,1782,3420,5202
2011-06-26,Weekend,Sunday,0,Sunny,1,0.68,0.637629,1920,3385,5305
2011-06-27,Weekday,Monday,1,Cloudy/Misty,2,0.6825,0.637004,854,3854,4708
2011-06-28,Weekday,Tuesday,2,Sunny,1,0.744167,0.692558,732,3916,4648
2011-06-29,Weekday,Wednesday,3,Sunny,1,0.728333,0.654688,848,4377,5225
2011-06-30,Weekday,Thursday,4,Sunny,1,0.696667,0.637008,1027,4488,5515
2011-07-01,Weekday,Friday,5,Sunny,1,0.7225,0.652162,1246,4116,5362
2011-07-02,Weekend,Saturday,6,Sunny,1,0.738333,0.667308,2204,2915,5119
2011-07-03,Weekend,Sunday,0,Cloudy/Misty,2,0.716667,0.668575,2282,2367,4649
2011-07-04,Holiday,Monday,1,Cloudy/Misty,2,0.726667,0.665417,3065,2978,6043
2011-07-05,Weekday,Tuesday,2,Sunny,1,0.746667,0.696338,1031,3634,4665
2011-07-06,Weekday,Wednesday,3,Sunny,1,0.72,0.685633,784,3845,4629
2011-07-07,Weekday,Thursday,4,Sunny,1,0.75,0.686871,754,3838,4592
2011-07-08,Weekday,Friday,5,Cloudy/Misty,2,0.709167,0.670483,692,3348,4040
2011-07-09,Weekend,Saturday,6,Sunny,1,0.733333,0.664158,1988,3348,5336
2011-07-10,Weekend,Sunday,0,Sunny,1,0.7475,0.690025,1743,3138,4881
2011-07-11,Weekday,Monday,1,Sunny,1,0.7625,0.729804,723,3363,4086
2011-07-12,Weekday,Tuesday,2,Sunny,1,0.794167,0.739275,662,3596,4258
2011-07-13,Weekday,Wednesday,3,Sunny,1,0.746667,0.689404,748,3594,4342
2011-07-14,Weekday,Thursday,4,Sunny,1,0.680833,0.635104,888,4196,5084
2011-07-15,Weekday,Friday,5,Sunny,1,0.663333,0.624371,1318,4220,5538
2011-07-16,Weekend,Saturday,6,Sunny,1,0.686667,0.638263,2418,3505,5923
2011-07-17,Weekend,Sunday,0,Sunny,1,0.719167,0.669833,2006,3296,5302
2011-07-18,Weekday,Monday,1,Sunny,1,0.746667,0.703925,841,3617,4458
2011-07-19,Weekday,Tuesday,2,Sunny,1,0.776667,0.747479,752,3789,4541
2011-07-20,Weekday,Wednesday,3,Sunny,1,0.768333,0.74685,644,3688,4332
2011-07-21,Weekday,Thursday,4,Cloudy/Misty,2,0.815,0.826371,632,3152,3784
2011-07-22,Weekday,Friday,5,Sunny,1,0.848333,0.840896,562,2825,3387
2011-07-23,Weekend,Saturday,6,Sunny,1,0.849167,0.804287,987,2298,3285
2011-07-24,Weekend,Sunday,0,Sunny,1,0.83,0.794829,1050,2556,3606
2011-07-25,Weekday,Monday,1,Sunny,1,0.743333,0.720958,568,3272,3840
2011-07-26,Weekday,Tuesday,2,Sunny,1,0.771667,0.696979,750,3840,4590
2011-07-27,Weekday,Wednesday,3,Sunny,1,0.775,0.690667,755,3901,4656
2011-07-28,Weekday,Thursday,4,Sunny,1,0.779167,0.7399,606,3784,4390
2011-07-29,Weekday,Friday,5,Sunny,1,0.838333,0.785967,670,3176,3846
2011-07-30,Weekend,Saturday,6,Sunny,1,0.804167,0.728537,1559,2916,4475
2011-07-31,Weekend,Sunday,0,Sunny,1,0.805833,0.729796,1524,2778,4302
2011-08-01,Weekday,Monday,1,Sunny,1,0.771667,0.703292,729,3537,4266
2011-08-02,Weekday,Tuesday,2,Sunny,1,0.783333,0.707071,801,4044,4845
2011-08-03,Weekday,Wednesday,3,Cloudy/Misty,2,0.731667,0.679937,467,3107,3574
2011-08-04,Weekday,Thursday,4,Cloudy/Misty,2,0.71,0.664788,799,3777,4576
2011-08-05,Weekday,Friday,5,Sunny,1,0.710833,0.656567,1023,3843,4866
2011-08-06,Weekend,Saturday,6,Cloudy/Misty,2,0.716667,0.676154,1521,2773,4294
2011-08-07,Weekend,Sunday,0,Sunny,1,0.7425,0.715292,1298,2487,3785
2011-08-08,Weekday,Monday,1,Sunny,1,0.765,0.703283,846,3480,4326
2011-08-09,Weekday,Tuesday,2,Sunny,1,0.775,0.724121,907,3695,4602
2011-08-10,Weekday,Wednesday,3,Sunny,1,0.766667,0.684983,884,3896,4780
2011-08-11,Weekday,Thursday,4,Sunny,1,0.7175,0.651521,812,3980,4792
2011-08-12,Weekday,Friday,5,Sunny,1,0.708333,0.654042,1051,3854,4905
2011-08-13,Weekend,Saturday,6,Cloudy/Misty,2,0.685833,0.645858,1504,2646,4150
2011-08-14,Weekend,Sunday,0,Cloudy/Misty,2,0.676667,0.624388,1338,2482,3820
2011-08-15,Weekday,Monday,1,Sunny,1,0.665833,0.616167,775,3563,4338
2011-08-16,Weekday,Tuesday,2,Sunny,1,0.700833,0.645837,721,4004,4725
2011-08-17,Weekday,Wednesday,3,Sunny,1,0.723333,0.666671,668,4026,4694
2011-08-18,Weekday,Thursday,4,Sunny,1,0.711667,0.662258,639,3166,3805
2011-08-19,Weekday,Friday,5,Cloudy/Misty,2,0.685,0.633221,797,3356,4153
2011-08-20,Weekend,Saturday,6,Sunny,1,0.6975,0.648996,1914,3277,5191
2011-08-21,Weekend,Sunday,0,Sunny,1,0.710833,0.675525,1249,2624,3873
2011-08-22,Weekday,Monday,1,Sunny,1,0.691667,0.638254,833,3925,4758
2011-08-23,Weekday,Tuesday,2,Sunny,1,0.640833,0.606067,1281,4614,5895
2011-08-24,Weekday,Wednesday,3,Sunny,1,0.673333,0.630692,949,4181,5130
2011-08-25,Weekday,Thursday,4,Cloudy/Misty,2,0.684167,0.645854,435,3107,3542
2011-08-26,Weekday,Friday,5,Sunny,1,0.7,0.659733,768,3893,4661
2011-08-27,Weekend,Saturday,6,Cloudy/Misty,2,0.68,0.635556,226,889,1115
2011-08-28,Weekend,Sunday,0,Sunny,1,0.707059,0.647959,1415,2919,4334
2011-08-29,Weekday,Monday,1,Sunny,1,0.636667,0.607958,729,3905,4634
2011-08-30,Weekday,Tuesday,2,Sunny,1,0.639167,0.594704,775,4429,5204
2011-08-31,Weekday,Wednesday,3,Sunny,1,0.656667,0.611121,688,4370,5058
2011-09-01,Weekday,Thursday,4,Sunny,1,0.655,0.614921,783,4332,5115
2011-09-02,Weekday,Friday,5,Cloudy/Misty,2,0.643333,0.604808,875,3852,4727
2011-09-03,Weekend,Saturday,6,Sunny,1,0.669167,0.633213,1935,2549,4484
2011-09-04,Weekend,Sunday,0,Sunny,1,0.709167,0.665429,2521,2419,4940
2011-09-05,Holiday,Monday,1,Cloudy/Misty,2,0.673333,0.625646,1236,2115,3351
2011-09-06,Weekday,Tuesday,2,Rain,3,0.54,0.5152,204,2506,2710
2011-09-07,Weekday,Wednesday,3,Rain,3,0.599167,0.544229,118,1878,1996
2011-09-08,Weekday,Thursday,4,Rain,3,0.633913,0.555361,153,1689,1842
2011-09-09,Weekday,Friday,5,Cloudy/Misty,2,0.65,0.578946,417,3127,3544
2011-09-10,Weekend,Saturday,6,Sunny,1,0.66,0.607962,1750,3595,5345
2011-09-11,Weekend,Sunday,0,Sunny,1,0.653333,0.609229,1633,3413,5046
2011-09-12,Weekday,Monday,1,Sunny,1,0.644348,0.60213,690,4023,4713
2011-09-13,Weekday,Tuesday,2,Sunny,1,0.650833,0.603554,701,4062,4763
2011-09-14,Weekday,Wednesday,3,Sunny,1,0.673333,0.6269,647,4138,4785
2011-09-15,Weekday,Thursday,4,Cloudy/Misty,2,0.5775,0.553671,428,3231,3659
2011-09-16,Weekday,Friday,5,Cloudy/Misty,2,0.469167,0.461475,742,4018,4760
2011-09-17,Weekend,Saturday,6,Cloudy/Misty,2,0.491667,0.478512,1434,3077,4511
2011-09-18,Weekend,Sunday,0,Sunny,1,0.5075,0.490537,1353,2921,4274
2011-09-19,Weekday,Monday,1,Cloudy/Misty,2,0.549167,0.529675,691,3848,4539
2011-09-20,Weekday,Tuesday,2,Cloudy/Misty,2,0.561667,0.532217,438,3203,3641
2011-09-21,Weekday,Wednesday,3,Cloudy/Misty,2,0.595,0.550533,539,3813,4352
2011-09-22,Weekday,Thursday,4,Cloudy/Misty,2,0.628333,0.554963,555,4240,4795
2011-09-23,Weekday,Friday,5,Cloudy/Misty,2,0.609167,0.522125,258,2137,2395
2011-09-24,Weekend,Saturday,6,Cloudy/Misty,2,0.606667,0.564412,1776,3647,5423
2011-09-25,Weekend,Sunday,0,Cloudy/Misty,2,0.634167,0.572637,1544,3466,5010
2011-09-26,Weekday,Monday,1,Cloudy/Misty,2,0.649167,0.589042,684,3946,4630
2011-09-27,Weekday,Tuesday,2,Cloudy/Misty,2,0.636667,0.574525,477,3643,4120
2011-09-28,Weekday,Wednesday,3,Cloudy/Misty,2,0.635,0.575158,480,3427,3907
2011-09-29,Weekday,Thursday,4,Sunny,1,0.616667,0.574512,653,4186,4839
2011-09-30,Weekday,Friday,5,Sunny,1,0.564167,0.544829,830,4372,5202
2011-10-01,Weekend,Saturday,6,Cloudy/Misty,2,0.41,0.412863,480,1949,2429
2011-10-02,Weekend,Sunday,0,Cloudy/Misty,2,0.356667,0.345317,616,2302,2918
2011-10-03,Weekday,Monday,1,Cloudy/Misty,2,0.384167,0.392046,330,3240,3570
2011-10-04,Weekday,Tuesday,2,Sunny,1,0.484167,0.472858,486,3970,4456
2011-10-05,Weekday,Wednesday,3,Sunny,1,0.538333,0.527138,559,4267,4826
2011-10-06,Weekday,Thursday,4,Sunny,1,0.494167,0.480425,639,4126,4765
2011-10-07,Weekday,Friday,5,Sunny,1,0.510833,0.504404,949,4036,4985
2011-10-08,Weekend,Saturday,6,Sunny,1,0.521667,0.513242,2235,3174,5409
2011-10-09,Weekend,Sunday,0,Sunny,1,0.540833,0.523983,2397,3114,5511
2011-10-10,Holiday,Monday,1,Sunny,1,0.570833,0.542925,1514,3603,5117
2011-10-11,Weekday,Tuesday,2,Cloudy/Misty,2,0.566667,0.546096,667,3896,4563
2011-10-12,Weekday,Wednesday,3,Rain,3,0.543333,0.517717,217,2199,2416
2011-10-13,Weekday,Thursday,4,Cloudy/Misty,2,0.589167,0.551804,290,2623,2913
2011-10-14,Weekday,Friday,5,Cloudy/Misty,2,0.550833,0.529675,529,3115,3644
2011-10-15,Weekend,Saturday,6,Sunny,1,0.506667,0.498725,1899,3318,5217
2011-10-16,Weekend,Sunday,0,Sunny,1,0.511667,0.503154,1748,3293,5041
2011-10-17,Weekday,Monday,1,Sunny,1,0.534167,0.510725,713,3857,4570
2011-10-18,Weekday,Tuesday,2,Cloudy/Misty,2,0.5325,0.522721,637,4111,4748
2011-10-19,Weekday,Wednesday,3,Rain,3,0.541739,0.513848,254,2170,2424
2011-10-20,Weekday,Thursday,4,Sunny,1,0.475833,0.466525,471,3724,4195
2011-10-21,Weekday,Friday,5,Sunny,1,0.4275,0.423596,676,3628,4304
2011-10-22,Weekend,Saturday,6,Sunny,1,0.4225,0.425492,1499,2809,4308
2011-10-23,Weekend,Sunday,0,Sunny,1,0.421667,0.422333,1619,2762,4381
2011-10-24,Weekday,Monday,1,Sunny,1,0.463333,0.457067,699,3488,4187
2011-10-25,Weekday,Tuesday,2,Sunny,1,0.471667,0.463375,695,3992,4687
2011-10-26,Weekday,Wednesday,3,Cloudy/Misty,2,0.484167,0.472846,404,3490,3894
2011-10-27,Weekday,Thursday,4,Cloudy/Misty,2,0.47,0.457046,240,2419,2659
2011-10-28,Weekday,Friday,5,Cloudy/Misty,2,0.330833,0.318812,456,3291,3747
2011-10-29,Weekend,Saturday,6,Rain,3,0.254167,0.227913,57,570,627
2011-10-30,Weekend,Sunday,0,Sunny,1,0.319167,0.321329,885,2446,3331
2011-10-31,Weekday,Monday,1,Sunny,1,0.34,0.356063,362,3307,3669
2011-11-01,Weekday,Tuesday,2,Sunny,1,0.400833,0.397088,410,3658,4068
